marketDate,securityType,symbol,downRom,upRom,Kurtosis,VaR,Beta
2024-10-31,CS,A,-0.40259,0.45177,6.2752,0.4251,0.93566
2024-10-31,CS,AA,-0.54165,0.67062,1.55797,0.79412,1.8264
2024-10-31,Other,AAA,-1.0,1.0,7.24932,0.04428,0.00351
2024-10-31,Other,AAAU,-1.0,1.0,0.81817,0.20992,0.33508
2024-10-31,Other,AACG,-1.0,1.0,3.45577,1.37499,0.39727
2024-10-31,CS,AACT,-0.17001,0.2183,4.07922,0.02979,0.01001
2024-10-31,Other,AACT.U,-1.0,1.0,1.64709,0.18521,0.21575
2024-10-31,Other,AACT.WS,-1.0,1.0,1.35595,2.39047,0.47546
2024-10-31,CS,AADI,-1.31124,0.86975,44.12002,1.44801,1.48439
2024-10-31,Other,AADR,-1.0,1.0,1.06516,0.28222,1.04634
2024-10-31,CS,AAL,-0.53388,0.59586,4.33,0.65876,1.50625
2024-10-31,CS,AAM,-0.16379,0.21126,0.96673,0.02039,-0.02021
2024-10-31,Other,AAM.U,-1.0,1.0,3.21009,0.02886,0.02252
2024-10-31,Other,AAM.WS,-1.0,1.0,-0.44935,1.92542,-3.10629
2024-10-31,CS,AAME,-0.74059,0.6593,2.73779,0.91606,0.39218
2024-10-31,CS,AAOI,-0.97171,1.20048,2.46446,1.63988,3.83806
2024-10-31,CS,AAON,-0.53736,0.54911,7.01222,0.55977,1.12865
2024-10-31,CS,AAP,-0.60956,0.56098,5.49294,0.76407,1.09792
2024-10-31,Other,AAPB,-1.0,1.0,5.57533,0.75114,1.9878
2024-10-31,Other,AAPD,-1.0,1.0,3.52843,0.38649,-1.04063
2024-10-31,CS,AAPL,-0.33994,0.41385,3.75654,0.35109,1.02507
2024-10-31,Other,AAPR,-1.0,1.0,0.17239,0.06447,0.27844
2024-10-31,Other,AAPU,-1.0,1.0,4.75437,0.66242,1.90003
2024-10-31,Other,AAPX,-1.0,1.0,3.67801,0.74557,2.02954
2024-10-31,Other,AAPY,-1.0,1.0,3.76471,0.28568,0.81069
2024-10-31,CS,AAT,-0.40084,0.47467,1.96207,0.45824,1.06117
2024-10-31,Other,AAXJ,-1.0,1.0,1.67028,0.26655,0.85133
2024-10-31,CS,AB,-0.36182,0.38081,2.09377,0.35553,0.88307
2024-10-31,CS,ABAT,-1.0,1.0,2.21894,1.43372,1.84342
2024-10-31,CS,ABBV,-0.33832,0.39267,4.38106,0.3067,0.19759
2024-10-31,CS,ABCB,-0.38651,0.51887,1.68989,0.4899,1.22466
2024-10-31,CS,ABCL,-0.55692,0.67413,0.30745,0.91899,1.60814
2024-10-31,Other,ABCS,-1.0,1.0,7.69846,0.25505,0.89809
2024-10-31,CS,ABEO,-1.25409,0.96686,34.9036,1.38898,0.56773
2024-10-31,Other,ABEQ,-1.0,1.0,0.7064,0.13938,0.38244
2024-10-31,Other,ABEV,-1.0,1.0,2.11567,0.41578,0.55812
2024-10-31,CS,ABG,-0.46658,0.50698,2.37413,0.57398,1.49485
2024-10-31,CS,ABL,-0.69091,0.86841,5.05446,0.97006,0.48925
2024-10-31,CS,ABLLL,-0.29536,0.33304,5.09844,0.22659,0.01657
2024-10-31,Other,ABLLW,-1.0,1.0,2.15593,1.82641,0.55143
2024-10-31,CS,ABLV,-1.0,1.0,3.65711,1.57504,0.54058
2024-10-31,Other,ABLVW,-1.0,1.0,1.24584,9.54525,12.87271
2024-10-31,CS,ABM,-0.43608,0.5677,28.74453,0.49224,0.85085
2024-10-31,CS,ABNB,-0.48189,0.47995,6.74212,0.53794,1.45146
2024-10-31,Other,ABNY,-1.0,1.0,31.50584,0.63505,1.27054
2024-10-31,CS,ABOS,-0.67841,0.90783,0.35582,1.18443,2.06219
2024-10-31,CS,ABR,-0.59828,0.54807,7.96008,0.68047,1.03369
2024-10-31,Other,ABRpD,-1.0,1.0,23.30586,0.33083,0.45192
2024-10-31,Other,ABRpE,-1.0,1.0,10.17417,0.35632,0.45063
2024-10-31,Other,ABRpF,-1.0,1.0,9.22245,0.28816,0.26411
2024-10-31,CS,ABSI,-0.82903,0.99552,0.91227,1.36905,2.67602
2024-10-31,CS,ABT,-0.30815,0.34471,1.47414,0.27975,0.23856
2024-10-31,CS,ABTS,-1.0,1.0,1.72086,1.64663,1.01514
2024-10-31,CS,ABUS,-0.42304,0.66934,4.72071,0.65858,0.76628
2024-10-31,CS,ABVC,-1.0,1.0,19.87479,1.90982,0.62797
2024-10-31,CS,ABVE,-1.0,1.0,0.4234,2.61661,0.11705
